theta_B_deg,kdf,residual_norm,radius_residual,length_residual,mass_residual,performance_residual,rao_exit_residual,D_M_pre,D_M_post,D_M_jump,D_theta_pre_deg,D_theta_post_deg,D_theta_jump_deg,fan_turn_deg,exit_angle_deg,exit_mach,success,failure_code,failure_reason
18.0,0.05,0.6133678361243273,-0.03352343412904145,-0.6487631183366729,5.0757458256073475e-08,-0.840620546278635,2.4710429375738943,1.7825520253076994,3.2825520253076994,1.5,19.308159285525846,29.30815928552585,10.000000000000002,0.0,35.31879174371549,4.648516217910951,True,0,ok
18.0,0.09,0.5198225703186033,-0.3601762768638219,-0.5256848348928448,3.592943534766428e-09,-0.6360621178675208,1.154419482586282,1.870218600646558,3.3702186006465578,1.4999999999999998,19.204108204774467,9.204108204774467,-10.0,0.0,6.4795504557779475,3.472994742468092,True,0,ok
18.0,0.13,0.3830215265186685,-0.2555487759527451,-0.3331612868544989,1.2319582023707867e-09,-0.5136290970930104,3.1137775413400655,1.9694037289848998,3.4694037289849,1.5,18.808112028486487,8.808112028486489,-10.0,0.0,5.673642636234535,3.5963465029017962,True,0,ok
18.0,0.16999999999999998,0.2671143871644999,-0.16165155346194748,-0.13265854971423108,1.906289972412861e-09,-0.4126993723545689,12.082065029360335,2.0775325898976407,3.5775325898976407,1.5,18.178794555824766,8.178794555824764,-10.0,0.0,4.888215789658886,3.722436763259846,True,0,ok
18.0,0.20999999999999996,0.19542184999362847,0.004238324921661933,-0.002311081102453071,1.9844476410923e-09,-0.33844614618989677,3.713838405778248,2.197956793405021,3.697956793405021,1.5,17.21613307281125,13.882799739477914,-3.333333333333334,0.0,7.453486165841402,3.866143689654434,True,0,ok
18.0,0.24999999999999994,0.1574307360927196,-0.057077210665288446,-0.02669616641490387,4.677957559594582e-10,-0.2652976002935281,21.795319834043696,2.32818942570476,3.4948560923714265,1.1666666666666665,15.972878387729871,12.639545054396537,-3.333333333333334,0.0,6.896826321920778,3.6723538470274044,True,0,ok
18.0,0.29,0.12887283771290692,0.04010376004509666,0.022026406059155915,1.0749715022669287e-09,-0.21847459982088133,30.847382288100892,2.4366517699832526,3.603318436649919,1.1666666666666665,15.268702733150844,18.602036066484178,3.333333333333334,0.0,9.000290912742605,3.7131840402727185,True,0,ok
18.0,0.32999999999999996,0.09883455613121128,-0.026131210595394805,-0.011485843078538605,2.222937943923691e-09,-0.16878993956558835,3.2475560484992485,2.561645822462615,3.394979155795948,0.833333333333333,14.187481847387101,17.520815180720437,3.3333333333333353,0.0,8.78232022905142,3.5454683701694587,True,0,ok
18.0,0.36999999999999994,0.07876938310475418,-0.0013786068711398743,-0.0009042921380774208,2.0736417255653767e-09,-0.13642261118646884,2.8733108351645202,2.690243899842899,3.5235772331762325,0.8333333333333335,13.01710231589654,23.01710231589654,10.0,0.0,9.949759723817,3.507265898626221,True,0,ok
18.0,0.4099999999999999,0.06681378427792033,-0.04529319776769946,-0.01327819961073997,4.816678390321398e-09,-0.10566201285080096,1.5189021521513326,2.817951178496942,3.3179511784969424,0.5000000000000004,11.866374776003532,21.866374776003532,10.000000000000002,0.0,9.9967942392329,3.3951463393455015,True,0,ok
18.0,0.4499999999999999,0.07929537988393653,-0.11258296620490468,0.003933248492402507,3.910684628628103e-10,-0.07856765931104047,0.6585309575827557,2.9443107585506443,3.110977425217311,0.16666666666666652,10.746122763629101,17.41278943029577,6.666666666666668,0.0,8.601318047970526,3.290899969128392,True,0,ok
18.0,0.48999999999999994,0.07292379128835612,-0.05258377308507486,0.09677719268777284,2.3248984300828125e-10,-0.06182847071709126,1.2134700003905767,3.0687499436789603,3.2354166103456268,0.16666666666666652,9.668178584363945,19.668178584363947,10.0,0.0,8.931174340954616,3.389640724652676,True,0,ok
18.0,0.5299999999999999,0.08727261693064291,-0.13579817417834136,0.04773295169333385,5.284667036450644e-09,-0.04615138362215086,0.4399149182653125,3.1908741418465953,3.024207475179929,-0.16666666666666652,8.639820011479138,18.639820011479134,9.999999999999998,0.0,8.756334809722492,3.210138187418943,True,0,ok
18.0,0.57,0.11895325038789108,-0.083758670419109,0.1853274601870914,2.470997806566684e-09,-0.03298249480797428,0.7398151609061744,3.310483699945069,3.1438170332784026,-0.16666666666666652,7.663412586858192,17.66341258685819,9.999999999999998,0.0,7.8487261118849485,3.349479758998888,True,0,ok
18.0,0.61,0.12463535141655963,-0.17644633986312203,0.12197812141706699,1.2120703752073738e-09,-0.024288670458854644,0.12731944759561023,3.4274742922961865,2.9274742922961865,-0.5,6.739249046603533,16.739249046603533,10.0,0.0,7.610027138927319,3.1474452723492505,True,0,ok
18.0,0.6499999999999999,0.12717515769949003,-0.21793648689447154,0.028443934569450373,8.10744087139406e-09,-0.014669440138435604,-0.9957848196579876,3.5418113109567266,3.37514464429006,-0.16666666666666652,5.866144499085606,-4.133855500914394,-10.0,0.0,0.0177228066932986,3.3754524746831134,True,0,ok
18.0,0.69,0.10938611444443536,-0.17572914639675263,0.07046869327204829,1.0244316181118266e-10,-0.007028262584165284,-0.98227002723266,3.6535205388058305,3.486853872139164,-0.16666666666666652,5.04180201040362,-4.958197989596379,-10.0,0.0,0.050016786985916634,3.487659939524267,True,0,ok
18.0,0.73,0.1045812152579538,-0.13230675266357284,0.1237107355882373,3.5839180032563355e-10,-0.0015062716650055584,-0.9303973980518047,3.76268182691847,3.5960151602518033,-0.16666666666666652,4.263087597489528,-5.736912402510471,-10.0,0.0,0.09485979420382266,3.5975294559219138,True,0,ok
18.0,0.7699999999999999,0.1295592542004002,-0.08966101904904489,0.2057013210502319,1.3650492759864447e-09,0.00216083969049113,1.3065241728890529,3.8693706893879685,3.702704022721302,-0.16666666666666652,3.5271657996141346,-6.472834200385865,-10.0,0.0,0.04802383933834104,3.70350790675733,True,0,ok
18.0,0.8099999999999999,0.11281316556837077,-0.18110850973728354,-0.0732973039154018,7.234343466534768e-10,0.002764763306940122,-0.9920492665055156,3.9736138101749625,3.4736138101749625,-0.5,2.8318815426009745,-7.168118457399025,-10.0,0.0,0.023832961985470476,3.4737831154341707,True,0,ok
18.0,0.85,0.08190982671987687,-0.14175086805304735,-0.0014653633607577975,1.4005734111069428e-09,0.005674791297420148,-0.9846940975392614,4.075510014036366,3.5755100140363663,-0.5,2.1742478782421144,-7.825752121757886,-10.0,0.0,0.025428719671214302,3.5757119802623243,True,0,ok
18.6,0.05,0.6041473658865447,0.006582393999266044,-0.6284379682197853,1.4699223305163649e-09,-0.8366627225543027,2.339535314177638,1.8136709640994937,3.3136709640994937,1.5,19.87958638180634,29.879586381806337,9.999999999999998,0.0,35.478002674945216,4.696459625845567,True,0,ok
18.6,0.09,0.49793619434405606,-0.33433659906905233,-0.49430102863330977,8.56819098438468e-10,-0.6226611378017071,1.8070814839078408,1.9112556551183797,3.4112556551183797,1.5,19.71289668645734,9.712896686457341,-10.0,0.0,6.733413968000729,3.5203416319410126,True,0,ok
18.6,0.13,0.3558435062361838,-0.2219169638316989,-0.28693278382886134,8.724608740866763e-11,-0.49829332879271354,9.529082857402111,2.0203588438939355,3.5203588438939355,1.5,19.249521895474366,9.249521895474366,-10.0,0.0,5.86144428676356,3.6547929075872347,True,0,ok
18.6,0.16999999999999998,0.24313485069748278,-0.12096125412993644,-0.06809767909477062,1.7161833319879196e-09,-0.39758615163544153,4.22888251832601,2.140306051126786,3.640306051126786,1.5,18.496853410175802,8.496853410175804,-10.0,0.0,4.995703086470629,3.7934846099444477,True,0,ok
18.6,0.20999999999999996,0.19242804780363282,0.057465581553647956,0.0038420046724200476,9.38076981062105e-09,-0.32828129200633677,3.8454800630555317,2.275970087367133,3.775970087367133,1.5,17.315169358292735,17.315169358292735,0.0,0.0,8.765402120596598,3.885611779875264,True,0,ok
18.6,0.24999999999999994,0.14827021919880568,0.008511634614440966,-0.006128084025332596,7.907987129075199e-10,-0.25659729610063,19.8764546279587,2.4073129249142737,3.5739795915809403,1.1666666666666665,16.20707165311234,16.20707165311234,0.0,0.0,8.4224855952701,3.7227734977420766,True,0,ok
18.6,0.29,0.12270071701151031,0.045971980656822314,0.002977029455505987,8.765150252529115e-11,-0.20747075012041097,25.780882617493813,2.527705331191965,3.6943719978586325,1.1666666666666674,15.380971807460003,22.04763847412667,6.666666666666668,0.0,9.83332951576205,3.667910247629152,True,0,ok
18.6,0.32999999999999996,0.09373012971847121,0.013412622617467392,0.007309653472123845,6.490966251316619e-10,-0.16162512852821861,4.482917782640029,2.6665946613026397,3.4999279946359727,0.833333333333333,14.122393045697553,20.78905971236422,6.666666666666668,0.0,9.759863936042551,3.5669425849377365,True,0,ok
18.6,0.36999999999999994,0.07653412732249959,-0.045073485845249416,-0.01123871145340618,4.795030125928345e-09,-0.1241551053065274,1.683099532899763,2.803584765863996,3.303584765863996,0.5,12.903279387173319,19.569946053839985,6.666666666666666,0.0,9.584042878853147,3.4277457035305594,True,0,ok
