theta_B_deg,kdf,residual_norm,radius_residual,length_residual,mass_residual,performance_residual,rao_exit_residual,D_M_pre,D_M_post,D_M_jump,D_theta_pre_deg,D_theta_post_deg,D_theta_jump_deg,fan_turn_deg,exit_angle_deg,exit_mach,success,failure_code,failure_reason
18.0,0.05,0.7924697299225214,-0.6340943180523269,-0.9163880606186228,2.3057704073182304e-09,-0.8013626748856078,-0.0654045854747278,1.7825520253076994,1.7825520253076994,0.0,19.308159285525846,19.308159285525846,0.0,0.0,17.800739554594326,1.8201431476264904,True,0,ok
18.0,0.09,0.7153983868074768,-0.5975386793250436,-0.8594900820384711,1.2625774568433062e-09,-0.6630300755834576,-0.0782490071603167,1.870218600646558,1.870218600646558,0.0,19.204108204774467,19.204108204774467,0.0,0.0,16.61352092912689,1.9307304474755826,True,0,ok
18.0,0.13,0.6444865782547033,-0.5601677055925341,-0.7977758284447299,1.038601295709319e-09,-0.5439252869759674,-0.09606665976275651,1.9694037289848998,1.9694037289848998,0.0,18.808112028486487,18.808112028486487,0.0,0.0,15.310165511728478,2.0481263571270913,True,0,ok
18.0,0.16999999999999998,0.5777056625430695,-0.5218172285492575,-0.730412650099593,1.649223205286388e-08,-0.4420810312223795,-0.11679239575368162,2.0775325898976407,2.0775325898976407,0.0,18.178794555824766,18.178794555824766,0.0,0.0,13.962341433343088,2.171506924202158,True,0,ok
18.0,0.20999999999999996,0.5125345300444593,-0.4818597652856372,-0.6551823866380975,1.2652644918055879e-08,-0.3558400487603401,-0.14384862756400243,2.197956793405021,2.197956793405021,0.0,17.21613307281125,17.21613307281125,0.0,0.0,12.501941637483347,2.3053614259464443,True,0,ok
18.0,0.24999999999999994,0.4473048111514264,-0.4404648905026995,-0.5704808530398706,3.9105332817790635e-10,-0.28423064364523765,-0.17590921423820877,2.32818942570476,2.32818942570476,0.0,15.972878387729871,15.972878387729871,0.0,0.0,10.986020545015814,2.4479900378950927,True,0,ok
18.0,0.29,0.386770898013517,-0.4016815383535005,-0.4862392975107527,1.7851477828816033e-10,-0.22582840820579267,-0.18508398710796037,2.4366517699832526,2.4366517699832526,0.0,15.268702733150844,15.268702733150844,0.0,0.0,9.989124254064258,2.568514979416082,True,0,ok
18.0,0.32999999999999996,0.3221120315984985,-0.3594527412754895,-0.38847759178236435,1.0317601922031904e-09,-0.17648617558904456,-0.20013178064011244,2.561645822462615,2.561645822462615,0.0,14.187481847387101,14.187481847387101,0.0,0.0,8.821799955221852,2.7050977048165743,True,0,ok
18.0,0.36999999999999994,0.25608325836727364,-0.3160970230484157,-0.2797714092792663,1.2690542521274002e-09,-0.13618566818069386,-0.21045076961981196,2.690243899842899,2.690243899842899,0.0,13.01710231589654,13.01710231589654,0.0,0.0,7.6919679268747805,2.8447156708243106,True,0,ok
18.0,0.4099999999999999,0.19227191763639637,-0.272435337329352,-0.1610693317611897,9.042205453782529e-10,-0.10363941467886414,-0.20908109085704937,2.817951178496942,2.817951178496942,0.0,11.866374776003532,11.866374776003532,0.0,0.0,6.660740012920542,2.9826413739835433,True,0,ok
18.0,0.4499999999999999,0.14066691600968262,-0.22873707605189492,-0.03192359461969377,2.520442049981591e-09,-0.07760011549483942,-0.18906402757383636,2.9443107585506443,2.9443107585506443,0.0,10.746122763629101,10.746122763629101,0.0,0.0,5.723028577521862,3.1180667052314104,True,0,ok
18.0,0.48999999999999994,0.1280790225232322,-0.18532710247488587,0.10778592518068605,6.034013469433655e-10,-0.056997960075133844,-0.13604002790422715,3.0687499436789603,3.0687499436789603,0.0,9.668178584363945,9.668178584363945,0.0,0.0,4.876054385695315,3.250036005604568,True,0,ok
18.0,0.5299999999999999,0.17180743958751624,-0.1424952758416344,0.2580222810818372,8.346004306748442e-10,-0.04090217257061066,-0.014678566857874175,3.1908741418465953,3.1908741418465953,0.0,8.639820011479138,8.639820011479138,0.0,0.0,4.115497115821832,3.377779237474553,True,0,ok
18.0,0.57,0.24910646401045614,-0.10048817521263503,0.41862933772625477,8.524362510981508e-10,-0.02852534789779262,0.2947707500259295,3.310483699945069,3.310483699945069,0.0,7.663412586858192,7.663412586858192,0.0,0.0,3.4355435162938073,3.500718566184245,True,0,ok
18.0,0.61,0.3420467594881976,-0.05958706587551589,0.5891239893975297,1.5074071771339876e-09,-0.01924223806673448,1.6383321708108571,3.4274742922961865,3.4274742922961865,0.0,6.739249046603533,6.739249046603533,0.0,0.0,2.830958576248293,3.6183950887634664,True,0,ok
18.0,0.6499999999999999,0.4441516562912079,-0.01997327553217459,0.768932423693245,1.672123338391153e-09,-0.01249309474940482,5.080380154682515,3.5418113109567266,3.5418113109567266,0.0,5.866144499085606,5.866144499085606,0.0,0.0,2.296104446524712,3.7304472090018557,True,0,ok
18.0,0.69,0.5527737817975195,0.018199245104475327,0.9572273652273162,6.622547247732528e-09,-0.00781794511316129,1.8114851648632493,3.6535205388058305,3.6535205388058305,0.0,5.04180201040362,5.04180201040362,0.0,0.0,1.825840074731286,3.8365960309294658,True,0,ok
18.0,0.73,0.6666593245133764,0.054773692136343484,1.1533779600349032,8.668323767744282e-10,-0.004805084533282037,1.3548816323730455,3.76268182691847,3.76268182691847,0.0,4.263087597489528,4.263087597489528,0.0,0.0,1.4131283346309156,3.9365736429694205,True,0,ok
