theta_B_deg,kdf,residual_norm,radius_residual,length_residual,sigma_E_rad,theta_Rao_E_deg,mass_residual,performance_residual,rao_exit_residual,thrust_coefficient,thrust_coefficient_target,D_M_pre,D_M_post,D_M_jump,D_theta_pre_deg,D_theta_post_deg,D_theta_jump_deg,fan_turn_deg,exit_angle_deg,exit_mach,success,failure_code,failure_reason
24.75,0.12,0.2770334953928122,-0.2449969598335726,-0.4021869259736062,0.09200455943531097,8.777202321997036,2.1980895903503124e-10,-0.3147024152225388,0.6005869248784118,1.0601068213382188,1.5469291660826012,2.884570715170111,2.884570715170111,0.0,21.159266270452342,21.159266270452342,0.0,0.0,14.04867527360089,2.946113097887097,True,0,ok
24.75,0.12375,0.2621874883801445,-0.231252893288947,-0.37954749584206926,0.09323430127785845,8.475268740415242,6.948644549447631e-10,-0.3038765781832858,0.6302964699631155,1.0768536244014966,1.5469291660826012,2.91425337021871,2.91425337021871,0.0,20.97236816898099,20.97236816898099,0.0,0.0,13.81720070948771,2.9771523946374936,True,0,ok
24.75,0.1275,0.24681839463621646,-0.21705686830170717,-0.35595002652236335,0.09457195321120013,8.15468821450757,3.611227342920803e-09,-0.2934253948301352,0.6644734460442726,1.0930208647505621,1.5469291660826012,2.9451508386949152,2.9451508386949152,0.0,20.76012436422193,20.76012436422193,0.0,0.0,13.57326199381803,3.009724756650922,True,0,ok
24.75,0.13125,0.23078432893988887,-0.20227481930826932,-0.33112873272226595,0.09603582296340057,7.809820749983424,1.2952405776578688e-09,-0.2833530996597655,0.7045548821181441,1.108601991919,1.5469291660826012,2.977638687451275,2.977638687451275,0.0,20.51542712653183,20.51542712653183,0.0,0.0,13.312268087851832,3.0443085018506557,True,0,ok
24.75,0.135,0.21420981445052664,-0.18701424804823338,-0.3051957307297692,0.0976666309036163,7.44451799314879,4.9045505020558506e-11,-0.27368597851915627,0.7516787191849225,1.1235563435634621,1.5469291660826012,3.011291491829833,3.011291491829833,0.0,20.246950649521537,20.246950649521537,0.0,0.0,13.040403743187982,3.080410685015638,True,0,ok
24.75,0.13874999999999998,0.19825382742646022,-0.17232078431556222,-0.27985300034386545,0.09950671213103132,7.099442724429743,1.3274489510343853e-09,-0.2645026224224073,0.8030650939280982,1.1377623449520455,1.5469291660826012,3.0427898285376584,3.0427898285376584,0.0,20.018807988625586,20.018807988625586,0.0,0.0,12.800757362761066,3.1140003755307846,True,0,ok
24.75,0.1425,0.18198483336357552,-0.15727104510464876,-0.25360122999066287,0.10152671196300754,6.738711189903832,1.1935018904041567e-09,-0.2556858585558405,0.8632291753408284,1.151401254127701,1.5469291660826012,3.075017429081659,3.075017429081659,0.0,19.776054538557066,19.776054538557066,0.0,0.0,12.55576329322453,3.1485710224630234,True,0,ok
24.75,0.14625,0.1658367073120152,-0.14220531533799735,-0.22698506456502412,0.10373460960694629,6.374864730453357,4.89366886439078e-10,-0.24727291092380413,0.9323421862619793,1.1644154881924236,1.5469291660826012,3.106942678501781,3.106942678501781,0.0,19.538104728331863,19.538104728331863,0.0,0.0,12.318420050368623,3.182870526797444,True,0,ok
24.75,0.15,0.14999586523839692,-0.12719652164919446,-0.20013764247134358,0.10612373774139625,6.010763503776317,3.385176536482529e-09,-0.23923426746493634,1.0115923334722983,1.1768507002146853,1.5469291660826012,3.1383374864538256,3.1383374864538256,0.0,19.309346079160836,19.309346079160836,0.0,0.0,12.09120578251153,3.216616315613602,True,0,ok
24.75,0.15375,0.13421801918354556,-0.11185470935527334,-0.17237099699767255,0.1087207128827782,5.630827625295717,2.6070951699361764e-09,-0.23154983137307072,1.1062739633251772,1.18873797853009,1.5469291660826012,3.1703506678866753,3.1703506678866753,0.0,19.06858497780995,19.06858497780995,0.0,0.0,11.860065619132506,3.2512106173661097,True,0,ok
24.75,0.1575,0.1193668247743804,-0.0967854316627499,-0.1447420780674861,0.11147926993263742,5.258229603639525,1.5038669459896604e-09,-0.2242293815076753,1.2147228538515638,1.2000621959357156,1.5469291660826012,3.201238647681368,3.201238647681368,0.0,18.847547546958758,18.847547546958758,0.0,0.0,11.645521273979305,3.2845221339786597,True,0,ok
24.75,0.16125,0.10517841496941735,-0.08132544559151825,-0.11606661163701117,0.11446488758078215,4.86702406553395,4.711445249575087e-10,-0.2172316091649209,1.347508225254429,1.2108872540703286,1.5469291660826012,3.2328778820005666,3.2328778820005666,0.0,18.612497986495743,18.612497986495743,0.0,0.0,11.425379026352198,3.3188438335547303,True,0,ok
24.75,0.16499999999999998,0.09278016660933178,-0.0660375784605991,-0.08734888258761939,0.11761670327772578,4.478587286962883,2.834817572854121e-09,-0.21057187097365346,1.5047023238049155,1.2211893973168744,1.5469291660826012,3.2637080615266942,3.2637080615266942,0.0,18.39121992709983,18.39121992709983,0.0,0.0,11.217527985019085,3.3522641094688934,True,0,ok
24.75,0.16875,0.08274684358481177,-0.0505310725887998,-0.057873862169589514,0.12098903731474484,4.07755368927659,1.1687875871144444e-09,-0.20422172677216854,1.7000784621711662,1.2310126205909817,1.5469291660826012,3.2947955062800225,3.2947955062800225,0.0,18.165060742473774,18.165060742473774,0.0,0.0,11.009714894762299,3.3860856460003963,True,0,ok
24.75,0.1725,0.07641775401092088,-0.03497542429961004,-0.027978469328383482,0.12455097082449337,3.6715446862920222,1.1962956179026916e-09,-0.19818342021849256,1.9436628373731113,1.2403534531126108,1.5469291660826012,3.3255842092819057,3.3255842092819057,0.0,17.943620960405976,17.943620960405976,0.0,0.0,10.807789648792545,3.419628316530003,True,0,ok
24.75,0.17625,0.07493842505478793,-0.019427210564259428,0.0023061405816789554,0.12831433222514801,3.2594783035724464,5.6715825438840064e-09,-0.192439784325063,2.2555357032083,1.249238450995516,1.5469291660826012,3.356137814515371,3.356137814515371,0.0,17.725884787337176,17.725884787337176,0.0,0.0,10.61134799111292,3.4529626902204065,True,0,ok
24.75,0.18,0.07878593075513622,-0.0037412339948303553,0.033228092781181814,0.13230104184465238,2.8367843062327296,3.7008153296470757e-10,-0.18698498367860464,2.672142293732922,1.2576766412106886,1.5469291660826012,3.3867313634885092,3.3867313634885092,0.0,17.507148799248434,17.507148799248434,0.0,0.0,10.41707562911501,3.4864268193999064,True,0,ok
24.84375,0.12,0.26823149310352323,-0.23552385224068684,-0.3892143247928257,0.09426094673515745,8.574672780784114,1.4657322420512019e-09,-0.3102863501120079,0.6298496232923425,1.0669381612570188,1.5469291660826012,2.9067599674603635,2.9067599674603635,0.0,21.144241843448892,21.144241843448892,0.0,0.0,13.975427201616093,2.966971594121756,True,0,ok
24.84375,0.12375,0.25292798849094,-0.2213234722549741,-0.3657814832774873,0.09559042424083197,8.259866372092635,7.386184842741364e-13,-0.2995172189942827,0.6630770552619885,1.0835972442763957,1.5469291660826012,2.9374102371329975,2.9374102371329975,0.0,20.945307314089614,20.945307314089614,0.0,0.0,13.736794242957345,2.999082607881569,True,0,ok
24.84375,0.1275,0.23686584636777763,-0.20644166970690112,-0.3410032185401211,0.09703055951851489,7.917349657843751,1.9162451641478523e-09,-0.2891206228495808,0.7021846684131323,1.099680042080617,1.5469291660826012,2.969958272414325,2.969958272414325,0.0,20.70760127330314,20.70760127330314,0.0,0.0,13.476791202047592,3.033576960886472,True,0,ok
24.84375,0.13125,0.22019551974954357,-0.19101771258593223,-0.3150274730669585,0.09863125997775679,7.552084275283198,1.1892391285555336e-09,-0.27912858706181537,0.7482907656735782,1.1151370136692524,1.5469291660826012,3.003873168161813,3.003873168161813,0.0,20.442052237026225,20.442052237026225,0.0,0.0,13.203239200066252,3.0698376617031333,True,0,ok
24.84375,0.135,0.2036336239129584,-0.17569646407078157,-0.2888642573895019,0.10043979131603531,7.188811273684969,1.867866953119335e-09,-0.2696137940875941,0.800518461049218,1.1298557244303131,1.5469291660826012,3.0370828133182193,3.0370828133182193,0.0,20.189087718412736,20.189087718412736,0.0,0.0,12.94358741126853,3.105349640367573,True,0,ok
24.84375,0.13874999999999998,0.187378846846026,-0.16061152340003465,-0.26275825777506856,0.10244282921791122,6.832901686850278,8.923861342448439e-10,-0.2605329475395841,0.8590115919363441,1.1439031508081503,1.5469291660826012,3.06917198654387,3.06917198654387,0.0,19.956601127337628,19.956601127337628,0.0,0.0,12.702443442416067,3.139598283744432,True,0,ok
24.84375,0.1425,0.17073111117700396,-0.14503924894854459,-0.23549986040857743,0.1046459219615658,6.455758419840066,4.0603453098591477e-10,-0.25183545677365676,0.928747527668737,1.1573575529456974,1.5469291660826012,3.1023648396151122,3.1023648396151122,0.0,19.702520141043305,19.702520141043305,0.0,0.0,12.45152809149316,3.1752944987420664,True,0,ok
24.84375,0.14625,0.15478129950370403,-0.12991758199766673,-0.2086608863362603,0.10702246693760989,6.093417443195129,1.1521071845171206e-10,-0.24356057691602706,1.0063212845283274,1.1701582059432942,1.5469291660826012,3.1338507844201704,3.1338507844201704,0.0,19.479241830524636,19.479241830524636,0.0,0.0,12.225353111798569,3.2090066290476353,True,0,ok
24.84375,0.15,0.138622952245728,-0.11423176362178852,-0.18050755615189207,0.1096225114649884,5.7064397380152005,1.7307279487034724e-09,-0.23563103417796516,1.1006700385752122,1.1824246468785007,1.5469291660826012,3.1666102480944165,3.1666102480944165,0.0,19.231831833669027,19.231831833669027,0.0,0.0,11.987346984583516,3.2443763618192007,True,0,ok
24.84375,0.15375,0.12332401290562824,-0.09879162988100007,-0.1524255420587411,0.11239708390788936,5.325550948160774,6.356935604197062e-09,-0.22808899902298344,1.2092417479780024,1.1940916410313622,1.5469291660826012,3.1983120041898507,3.1983120041898507,0.0,19.002926968803028,19.002926968803028,0.0,0.0,11.765429485660615,3.278548390371174,True,0,ok
24.84375,0.1575,0.10878302897332702,-0.08312884452777737,-0.12359938315964841,0.11538643710534685,4.932663721927332,1.0044163922227358e-10,-0.22088824107172117,1.340281079733716,1.205230703524071,1.5469291660826012,3.230272027633168,3.230272027633168,0.0,18.768885946911794,18.768885946911794,0.0,0.0,11.543819581115427,3.313131653813866,True,0,ok
24.84375,0.16125,0.09576352957118688,-0.06743954435565068,-0.0943609994677451,0.11857432447349295,4.534717290031935,1.5222618252359943e-09,-0.2140356449977418,1.4981768248000504,1.2158311842542928,1.5469291660826012,3.2619597923422456,3.2619597923422456,0.0,18.53907397068333,18.53907397068333,0.0,0.0,11.328525640977867,3.3474751674864724,True,0,ok
24.84375,0.16499999999999998,0.08511038486268155,-0.051703944358630134,-0.06467576536424423,0.1219634385655399,4.130833801720028,9.285359839468837e-10,-0.20750977828939424,1.6916658040802377,1.2259262377994031,1.5469291660826012,3.2934210556982637,3.2934210556982637,0.0,18.312800669163007,18.312800669163007,0.0,0.0,11.118824086428564,3.381631902735489,True,0,ok
24.84375,0.16875,0.07793665257266945,-0.03576086178945346,-0.03427035441934304,0.12557495377163064,3.715781553484538,1.162215799546396e-08,-0.20130557618398406,1.936312659961859,1.2355236989885332,1.5469291660826012,3.3249853115081254,3.3249853115081254,0.0,18.084296268109757,18.084296268109757,0.0,0.0,10.910696417149392,3.416007495146348,True,0,ok
24.84375,0.1725,0.07560583168884816,-0.019947011392439176,-0.0036921206839951324,0.12937237084266495,3.299206930784778,1.1082666726304144e-08,-0.19541036758654443,2.246749291692004,1.2446431691080535,1.5469291660826012,3.3559890101411853,3.3559890101411853,0.0,17.864986350538487,17.864986350538487,0.0,0.0,10.711697765670829,3.4497796144434183,True,0,ok
24.84375,0.17625,0.07870461662284657,-0.003903189567372432,0.027703680018534384,0.13341859412345636,2.8683316637085077,5.447366157651817e-10,-0.18981357515830335,2.6650761655503676,1.2533010105518099,1.5469291660826012,3.387250556039079,3.387250556039079,0.0,17.641007549107986,17.641007549107986,0.0,0.0,10.512654015551483,3.48395449702545,True,0,ok
24.84375,0.18,0.08682151380337357,0.012076355575324191,0.0593436478332912,0.13764599113372247,2.4351730761408756,4.3860139928736526e-08,-0.18450250305210045,3.2385929510010762,1.261516862896063,1.5469291660826012,3.417969154490177,3.417969154490177,0.0,17.42572116862349,17.42572116862349,0.0,0.0,10.321707434998324,3.517549090738866,True,0,ok
24.9375,0.12,0.2591040382972577,-0.22570000314527505,-0.3756839242693053,0.09657021078820355,8.362950797809825,1.5651289209492577e-09,-0.30586434041026633,0.6616164125109824,1.073778697037343,1.5469291660826012,2.9297129227725844,2.9297129227725844,0.0,21.12040932711069,21.12040932711069,0.0,0.0,13.89601630266262,2.9886100670738287,True,0,ok
24.9375,0.12375,0.2431357509510279,-0.21083612022591686,-0.3511261811129942,0.09799752811499043,8.027521106054998,3.974661851117653e-09,-0.2951412509708621,0.6994493928478634,1.0903665568416698,1.5469291660826012,2.9619307932052164,2.9619307932052164,0.0,20.897797780503645,20.897797780503645,0.0,0.0,13.642365869758576,3.0225330307330744,True,0,ok
