x_m,y_m
-2.12132034e-02,2.87867966e-02
-2.09605544e-02,2.85371213e-02
-2.07049669e-02,2.82904550e-02
-2.04464768e-02,2.80468320e-02
-2.01851204e-02,2.78062866e-02
-1.99209343e-02,2.75688525e-02
-1.96539555e-02,2.73345630e-02
-1.93842214e-02,2.71034509e-02
-1.91117699e-02,2.68755487e-02
-1.88366392e-02,2.66508882e-02
-1.85588678e-02,2.64295009e-02
-1.82784947e-02,2.62114180e-02
-1.79955591e-02,2.59966700e-02
-1.77101008e-02,2.57852869e-02
-1.74221597e-02,2.55772984e-02
-1.71317762e-02,2.53727337e-02
-1.68389911e-02,2.51716215e-02
-1.65438454e-02,2.49739899e-02
-1.62463804e-02,2.47798667e-02
-1.59466378e-02,2.45892790e-02
-1.56446597e-02,2.44022536e-02
-1.53404885e-02,2.42188167e-02
-1.50341666e-02,2.40389940e-02
-1.47257372e-02,2.38628107e-02
-1.44152434e-02,2.36902916e-02
-1.41027288e-02,2.35214607e-02
-1.37882371e-02,2.33563419e-02
-1.34718124e-02,2.31949581e-02
-1.31534992e-02,2.30373321e-02
-1.28333420e-02,2.28834860e-02
-1.25113858e-02,2.27334412e-02
-1.21876756e-02,2.25872190e-02
-1.18622568e-02,2.24448396e-02
-1.15351751e-02,2.23063232e-02
-1.12064762e-02,2.21716890e-02
-1.08762064e-02,2.20409561e-02
-1.05444119e-02,2.19141427e-02
-1.02111391e-02,2.17912666e-02
-9.87643487e-03,2.16723451e-02
-9.54034609e-03,2.15573947e-02
-9.20291986e-03,2.14464316e-02
-8.86420349e-03,2.13394715e-02
-8.52424446e-03,2.12365291e-02
-8.18309044e-03,2.11376191e-02
-7.84078925e-03,2.10427552e-02
-7.49738887e-03,2.09519508e-02
-7.15293745e-03,2.08652186e-02
-6.80748327e-03,2.07825708e-02
-6.46107476e-03,2.07040188e-02
-6.11376049e-03,2.06295738e-02
-5.76558914e-03,2.05592462e-02
-5.41660952e-03,2.04930459e-02
-5.06687056e-03,2.04309820e-02
-4.71642129e-03,2.03730634e-02
-4.36531083e-03,2.03192982e-02
-4.01358840e-03,2.02696938e-02
-3.66130332e-03,2.02242572e-02
-3.30850497e-03,2.01829949e-02
-2.95524280e-03,2.01459125e-02
-2.60156634e-03,2.01130153e-02
-2.24752518e-03,2.00843080e-02
-1.89316894e-03,2.00597944e-02
-1.53854730e-03,2.00394781e-02
-1.18370997e-03,2.00233619e-02
-8.28706704e-04,2.00114481e-02
-4.73587260e-04,2.00037383e-02
-1.18401426e-04,2.00002336e-02
1.84934624e-05,2.00000224e-02
7.39727662e-05,2.00003581e-02
1.29448169e-04,2.00010967e-02
1.84916746e-04,2.00022382e-02
2.40375571e-04,2.00037824e-02
2.95821720e-04,2.00057293e-02
3.51252269e-04,2.00080788e-02
4.06664295e-04,2.00108307e-02
4.62054877e-04,2.00139850e-02
5.17421092e-04,2.00175414e-02
5.72760021e-04,2.00214998e-02
6.28068747e-04,2.00258599e-02
6.83344352e-04,2.00306215e-02
7.38583921e-04,2.00357845e-02
7.93784542e-04,2.00413484e-02
8.48943303e-04,2.00473130e-02
9.04057297e-04,2.00536781e-02
9.59123615e-04,2.00604432e-02
1.01413936e-03,2.00676079e-02
1.06910162e-03,2.00751721e-02
1.12400750e-03,2.00831351e-02
1.17885411e-03,2.00914966e-02
1.23363855e-03,2.01002562e-02
1.28835794e-03,2.01094134e-02
1.34300939e-03,2.01189678e-02
