x_m,r_m
0.000000000000000000e+00,2.000000000000000042e-02
3.333568293546380098e-05,2.000007272729359062e-02
7.503027578252265085e-05,2.000036843442591292e-02
1.083636368904865224e-04,2.000076853851123077e-02
1.416949349110067815e-04,2.000131408255185692e-02
1.750235352642152292e-04,2.000200505616142599e-02
2.083488034216031902e-04,2.000284144618479434e-02
2.416701049181023723e-04,2.000382323669829682e-02
2.749868053641638804e-04,2.000495040901006244e-02
3.101681572226779537e-04,2.000629868843133846e-02
3.434734044551197418e-04,2.000772471536619787e-02
3.767721124490468632e-04,2.000929604982078572e-02
4.100636472450582839e-04,2.001101266187916075e-02
4.433473750203202135e-04,2.001287451885950738e-02
4.766226621006332221e-04,2.001488158531474978e-02
5.098888749724965908e-04,2.001703382303323536e-02
5.431453802951695733e-04,2.001933119103946335e-02
5.763915449127289710e-04,2.002177364559485501e-02
6.096267358661236176e-04,2.002436114019859673e-02
6.428503204052255036e-04,2.002709362558852471e-02
6.760616660008755873e-04,2.002997104974205134e-02
7.264050412169161192e-04,2.003461140268988916e-02
7.595827890452178013e-04,2.003785333036869898e-02
7.927460755121312590e-04,2.004123999196183795e-02
8.258942692364856222e-04,2.004477132299215675e-02
8.590267391244548216e-04,2.004844725622819540e-02
8.921428543815713074e-04,2.005226772168549124e-02
9.252419845247367332e-04,2.005623264662788341e-02
9.583234993942242900e-04,2.006034195556891803e-02
9.913867691656770304e-04,2.006459557027327756e-02
1.024431164362098277e-03,2.006899340975826923e-02
1.057456055865835633e-03,2.007353539029536893e-02
1.090460814930559576e-03,2.007822142541181021e-02
1.123444813193232505e-03,2.008305142589224615e-02
1.156407422686072913e-03,2.008802529978042511e-02
1.189348015848511100e-03,2.009314295238095668e-02
1.222265965539135564e-03,2.009840428626111924e-02
1.255160645047634620e-03,2.010380920125269186e-02
1.288031428106727397e-03,2.010935759445388674e-02
1.345952257612619690e-03,2.011949386542185789e-02
1.378753739360199723e-03,2.012543826120243712e-02
1.411528971624013236e-03,2.013152572340651605e-02
1.444277330410882135e-03,2.013775613613758703e-02
1.476998192239260951e-03,2.014412938077757634e-02
1.509690934151106676e-03,2.015064533598909247e-02
1.542354933723738856e-03,2.015730387771773671e-02
1.574989569081689487e-03,2.016410487919447284e-02
1.607594218908543369e-03,2.017104821093804179e-02
1.640168262458766534e-03,2.017813374075741115e-02
1.672711079569524266e-03,2.018536133375430780e-02
1.705222050672488068e-03,2.019273085232577841e-02
1.737700556805631775e-03,2.020024215616681579e-02
1.770145979625015100e-03,2.020789510227301994e-02
1.802557701416556985e-03,2.021568954494332507e-02
1.834935105107794858e-03,2.022362533578278207e-02
1.867277574279633482e-03,2.023170232370537225e-02
1.899584493178080140e-03,2.023992035493689043e-02
1.931855246725969416e-03,2.024827927301786276e-02
1.964089220534669979e-03,2.025677891880654086e-02
1.996285800915785502e-03,2.026541913048192020e-02
2.028444374892835432e-03,2.027419974354682797e-02
2.060564330212927286e-03,2.028312059083104552e-02
2.092645055358411180e-03,2.029218150249450028e-02
2.124685939558523719e-03,2.030138230603049584e-02
2.156686372801016292e-03,2.031072282626899053e-02
2.195202272502971841e-03,2.032216651031210075e-02
2.227111346569280153e-03,2.033181451727021638e-02
2.258978019645861788e-03,2.034160166154540261e-02
2.290801685037196101e-03,2.035152775680453344e-02
2.322581736866567107e-03,2.036159261406907464e-02
2.354317570087597223e-03,2.037179604171864000e-02
2.386008580495768867e-03,2.038213784549468277e-02
2.417654164739925244e-03,2.039261782850416635e-02
2.449253720333758114e-03,2.040323579122331477e-02
2.480806645667278654e-03,2.041399153150142906e-02
2.512312340018272704e-03,2.042488484456471756e-02
2.543770203563732162e-03,2.043591552302019901e-02
2.575179637391281605e-03,2.044708335685966119e-02
2.606540043510576724e-03,2.045838813346364041e-02
2.637850824864690184e-03,2.046982963760548765e-02
2.669111385341478397e-03,2.048140765145545564e-02
2.700321129784930951e-03,2.049312195458485170e-02
2.731479464006500955e-03,2.050497232397023237e-02
2.762585794796419778e-03,2.051695853399763958e-02
2.793639529934987056e-03,2.052908035646692012e-02
2.824640078203849002e-03,2.054133756059604160e-02
2.855586849397253289e-03,2.055372991302550911e-02
2.886479254333284422e-03,2.056625717782279220e-02
2.917316704865083495e-03,2.057891911648683167e-02
2.948098613892043661e-03,2.059171548795256032e-02
2.978824395370987827e-03,2.060464604859551727e-02
3.009493464327326825e-03,2.061771055223646579e-02
3.040105236866196773e-03,2.063090875014608402e-02
3.070659130183574313e-03,2.064424039104971464e-02
3.101154562577372771e-03,2.065770522113212840e-02
1.799597104169195841e-02,2.704573438443084663e-02
1.951302115717855334e-02,2.766280300806124234e-02
2.108418517408131715e-02,2.831366708573244614e-02
2.271252666743174553e-02,2.900088189553823304e-02
2.441401079702561205e-02,2.973296053019987978e-02
2.620640589184655700e-02,3.051941567477869238e-02
2.810594404229281584e-02,3.136993720304483840e-02
3.012977560380750500e-02,3.229488532946737933e-02
3.229208829669832220e-02,3.330425936989387520e-02
3.460807412819863482e-02,3.440880371508271002e-02
3.708993289192546311e-02,3.561904647548821967e-02
3.975071140986167345e-02,3.694624485098835925e-02
4.259985253328437554e-02,3.840151054782148243e-02
4.564761282556781263e-02,3.999673839288326455e-02
4.889768905097141571e-02,4.174293269799977946e-02
5.235497491728722391e-02,4.365222513499970175e-02
5.601225175007042145e-02,4.573412887552966155e-02
5.986244811845607694e-02,4.799940120192335707e-02
6.388139930910981257e-02,5.045457195178431470e-02
6.803716202337660446e-02,5.310532876568345440e-02
7.226028946565433986e-02,5.594710000495149022e-02
7.650515415081926562e-02,5.898396372044259484e-02
1.291156813295815664e-01,6.324555330725818714e-02
