x_m,y_m
-2.12132034e-02,2.87867966e-02
-2.11293158e-02,2.87032393e-02
-2.09605544e-02,2.85371213e-02
-2.07904870e-02,2.83723406e-02
-2.06191243e-02,2.82089075e-02
-2.04464768e-02,2.80468320e-02
-2.02725555e-02,2.78861244e-02
-2.00973710e-02,2.77267946e-02
-1.99209343e-02,2.75688525e-02
-1.97432564e-02,2.74123081e-02
-1.95643484e-02,2.72571710e-02
-1.93842214e-02,2.71034509e-02
-1.92028867e-02,2.69511575e-02
-1.90203555e-02,2.68003001e-02
-1.88366392e-02,2.66508882e-02
-1.86517493e-02,2.65029311e-02
-1.84656972e-02,2.63564380e-02
-1.82784947e-02,2.62114180e-02
-1.80901532e-02,2.60678802e-02
-1.79006846e-02,2.59258336e-02
-1.77101008e-02,2.57852869e-02
-1.75184134e-02,2.56462489e-02
-1.73256346e-02,2.55087284e-02
-1.71317762e-02,2.53727337e-02
-1.69368505e-02,2.52382736e-02
-1.67408694e-02,2.51053562e-02
-1.65438454e-02,2.49739899e-02
-1.63457905e-02,2.48441829e-02
-1.61467172e-02,2.47159433e-02
-1.59466378e-02,2.45892790e-02
-1.57455649e-02,2.44641979e-02
-1.55435109e-02,2.43407079e-02
-1.53404885e-02,2.42188167e-02
-1.51365102e-02,2.40985317e-02
-1.49315889e-02,2.39798606e-02
-1.47257372e-02,2.38628107e-02
-1.45189680e-02,2.37473893e-02
-1.43112942e-02,2.36336036e-02
-1.41027288e-02,2.35214607e-02
-1.38932846e-02,2.34109676e-02
-1.36829748e-02,2.33021311e-02
-1.34718124e-02,2.31949581e-02
-1.32598107e-02,2.30894552e-02
-1.30469828e-02,2.29856290e-02
-1.28333420e-02,2.28834860e-02
-1.26189016e-02,2.27830325e-02
-1.24036750e-02,2.26842747e-02
-1.21876756e-02,2.25872190e-02
-1.19709167e-02,2.24918712e-02
-1.17534120e-02,2.23982373e-02
-1.15351751e-02,2.23063232e-02
-1.13162193e-02,2.22161345e-02
-1.10965586e-02,2.21276770e-02
-1.08762064e-02,2.20409561e-02
-1.06551766e-02,2.19559772e-02
-1.04334829e-02,2.18727457e-02
-1.02111391e-02,2.17912666e-02
-9.98815911e-03,2.17115452e-02
-9.76455680e-03,2.16335862e-02
-9.54034609e-03,2.15573947e-02
-9.31554096e-03,2.14829753e-02
-9.09015541e-03,2.14103327e-02
-8.86420349e-03,2.13394715e-02
-8.63769927e-03,2.12703959e-02
-8.41065688e-03,2.12031104e-02
-8.18309044e-03,2.11376191e-02
-7.95501415e-03,2.10739261e-02
-7.72644221e-03,2.10120354e-02
-7.49738887e-03,2.09519508e-02
-7.26786839e-03,2.08936761e-02
-7.03789508e-03,2.08372149e-02
-6.80748327e-03,2.07825708e-02
-6.57664731e-03,2.07297470e-02
-6.34540158e-03,2.06787470e-02
-6.11376049e-03,2.06295738e-02
-5.88173848e-03,2.05822307e-02
-5.64934999e-03,2.05367204e-02
-5.41660952e-03,2.04930459e-02
-5.18353156e-03,2.04512098e-02
-4.95013064e-03,2.04112148e-02
-4.71642129e-03,2.03730634e-02
-4.48241808e-03,2.03367580e-02
-4.24813558e-03,2.03023007e-02
-4.01358840e-03,2.02696938e-02
-3.77879115e-03,2.02389392e-02
-3.54375846e-03,2.02100390e-02
-3.30850497e-03,2.01829949e-02
-3.07304534e-03,2.01578085e-02
-2.83739423e-03,2.01344815e-02
-2.60156634e-03,2.01130153e-02
-2.36557636e-03,2.00934113e-02
-2.12943899e-03,2.00756706e-02
-1.89316894e-03,2.00597944e-02
-1.65678093e-03,2.00457837e-02
-1.42028970e-03,2.00336392e-02
-1.18370997e-03,2.00233619e-02
-9.47056493e-04,2.00149523e-02
-7.10344006e-04,2.00084110e-02
-4.73587260e-04,2.00037383e-02
-2.36801007e-04,2.00009346e-02
1.83697020e-18,2.00000000e-02
2.01019599e-05,2.00000264e-02
6.03053232e-05,2.00002380e-02
1.00507016e-04,2.00006611e-02
1.40705927e-04,2.00012958e-02
1.80900940e-04,2.00021420e-02
2.21090944e-04,2.00031997e-02
2.61274826e-04,2.00044689e-02
3.01451473e-04,2.00059495e-02
3.41619772e-04,2.00076415e-02
3.81778611e-04,2.00095449e-02
4.21926878e-04,2.00116596e-02
4.62063461e-04,2.00139855e-02
5.02187248e-04,2.00165226e-02
5.42297129e-04,2.00192708e-02
5.82391993e-04,2.00222300e-02
6.22470730e-04,2.00254002e-02
6.62532229e-04,2.00287812e-02
7.02575382e-04,2.00323730e-02
7.42599079e-04,2.00361755e-02
7.82602212e-04,2.00401886e-02
8.22583674e-04,2.00444121e-02
8.62542357e-04,2.00488459e-02
9.02477154e-04,2.00534899e-02
9.42386961e-04,2.00583441e-02
9.82270671e-04,2.00634081e-02
1.02212718e-03,2.00686820e-02
1.06195538e-03,2.00741656e-02
1.10175418e-03,2.00798586e-02
1.14152247e-03,2.00857610e-02
1.18125915e-03,2.00918726e-02
1.22096311e-03,2.00981932e-02
1.26063327e-03,2.01047227e-02
1.30026852e-03,2.01114608e-02
1.33986776e-03,2.01184075e-02
1.37942989e-03,2.01255624e-02
1.41895383e-03,2.01329253e-02
