x_m,y_m
-2.12132034e-02,2.87867966e-02
-2.10450990e-02,2.86200138e-02
-2.08756833e-02,2.84545632e-02
-2.07049669e-02,2.82904550e-02
-2.05329605e-02,2.81276994e-02
-2.03596747e-02,2.79663066e-02
-2.01851204e-02,2.78062866e-02
-2.00093085e-02,2.76476495e-02
-1.98322498e-02,2.74904050e-02
-1.96539555e-02,2.73345630e-02
-1.94744366e-02,2.71801332e-02
-1.92937043e-02,2.70271253e-02
-1.91117699e-02,2.68755487e-02
-1.89286448e-02,2.67254128e-02
-1.87443402e-02,2.65767272e-02
-1.85588678e-02,2.64295009e-02
-1.83722390e-02,2.62837433e-02
-1.81844656e-02,2.61394633e-02
-1.79955591e-02,2.59966700e-02
-1.78055314e-02,2.58553722e-02
-1.76143943e-02,2.57155788e-02
-1.74221597e-02,2.55772984e-02
-1.72288396e-02,2.54405398e-02
-1.70344460e-02,2.53053113e-02
-1.68389911e-02,2.51716215e-02
-1.66424870e-02,2.50394787e-02
-1.64449460e-02,2.49088910e-02
-1.62463804e-02,2.47798667e-02
-1.60468025e-02,2.46524137e-02
-1.58462248e-02,2.45265401e-02
-1.56446597e-02,2.44022536e-02
-1.54421200e-02,2.42795620e-02
-1.52386180e-02,2.41584729e-02
-1.50341666e-02,2.40389940e-02
-1.48287785e-02,2.39211326e-02
-1.46224665e-02,2.38048960e-02
-1.44152434e-02,2.36902916e-02
-1.42071221e-02,2.35773264e-02
-1.39981157e-02,2.34660075e-02
-1.37882371e-02,2.33563419e-02
-1.35774994e-02,2.32483363e-02
-1.33659157e-02,2.31419975e-02
-1.31534992e-02,2.30373321e-02
-1.29402632e-02,2.29343467e-02
-1.27262210e-02,2.28330476e-02
-1.25113858e-02,2.27334412e-02
-1.22957710e-02,2.26355337e-02
-1.20793902e-02,2.25393312e-02
-1.18622568e-02,2.24448396e-02
-1.16443842e-02,2.23520649e-02
-1.14257862e-02,2.22610128e-02
-1.12064762e-02,2.21716890e-02
-1.09864680e-02,2.20840992e-02
-1.07657753e-02,2.19982486e-02
-1.05444119e-02,2.19141427e-02
-1.03223914e-02,2.18317868e-02
-1.00997278e-02,2.17511859e-02
-9.87643487e-03,2.16723451e-02
-9.65252662e-03,2.15952692e-02
-9.42801695e-03,2.15199632e-02
-9.20291986e-03,2.14464316e-02
-8.97724937e-03,2.13746791e-02
-8.75101954e-03,2.13047102e-02
-8.52424446e-03,2.12365291e-02
-8.29693828e-03,2.11701402e-02
-8.06911514e-03,2.11055476e-02
-7.84078925e-03,2.10427552e-02
-7.61197483e-03,2.09817671e-02
-7.38268613e-03,2.09225870e-02
-7.15293745e-03,2.08652186e-02
-6.92274309e-03,2.08096655e-02
-6.69211741e-03,2.07559311e-02
-6.46107476e-03,2.07040188e-02
-6.22962955e-03,2.06539319e-02
-5.99779620e-03,2.06056733e-02
-5.76558914e-03,2.05592462e-02
-5.53302285e-03,2.05146535e-02
-5.30011182e-03,2.04718979e-02
-5.06687056e-03,2.04309820e-02
-4.83331361e-03,2.03919085e-02
-4.59945551e-03,2.03546798e-02
-4.36531083e-03,2.03192982e-02
-4.13089417e-03,2.02857658e-02
-3.89622012e-03,2.02540848e-02
-3.66130332e-03,2.02242572e-02
-3.42615840e-03,2.01962848e-02
-3.19080000e-03,2.01701694e-02
-2.95524280e-03,2.01459125e-02
-2.71950147e-03,2.01235157e-02
-2.48359070e-03,2.01029805e-02
-2.24752518e-03,2.00843080e-02
-2.01131963e-03,2.00674994e-02
-1.77498876e-03,2.00525558e-02
-1.53854730e-03,2.00394781e-02
-1.30200998e-03,2.00282672e-02
-1.06539153e-03,2.00189236e-02
-8.28706704e-04,2.00114481e-02
-5.91970244e-04,2.00058410e-02
-3.55196900e-04,2.00021028e-02
-1.18401426e-04,2.00002336e-02
4.67815077e-19,2.00000000e-02
3.70910544e-05,2.00000900e-02
7.41812345e-05,2.00003601e-02
1.11269666e-04,2.00008103e-02
1.48355475e-04,2.00014405e-02
1.85437788e-04,2.00022508e-02
2.22515730e-04,2.00032411e-02
2.59588427e-04,2.00044114e-02
2.96655005e-04,2.00057616e-02
3.33714592e-04,2.00072918e-02
3.70766313e-04,2.00090019e-02
4.07809295e-04,2.00108918e-02
4.44842665e-04,2.00129616e-02
4.81865551e-04,2.00152111e-02
5.18877079e-04,2.00176404e-02
5.55876377e-04,2.00202493e-02
5.92862573e-04,2.00230377e-02
